commit_hash,subject,author_date,scope_class,path_scope_summary,files_changed_count,foreign_to_fp0002,safe_to_push_with_branch,notes
"f8d859924d84c7d6a57f2662b8fe7b3e9f53a629","docs(metabot): add pc14 fu03 production proposal","2026-07-16 04:00:19 +0700",other_mars_scoped_commit,"metabot:12",12,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"d3f3fdf271eec42465a9ae5ac5e604e6c35b178c","docs(fp0002): persist v9 e38-e51 postcommit evidence","2026-07-16 03:46:55 +0700",fp0002_postcommit_evidence,"fp0002:12",12,no,yes,"Known FP-0002 micro-commit"
"a64da2708aa71942b81322b4df10dd7aadcc73d7","docs(metabot): add pc14 fu03 sandbox implementation evidence","2026-07-16 03:44:09 +0700",other_mars_scoped_commit,"metabot:15",15,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"fdbed1ad22109ec6d6a4d472b08694b27f8a8132","docs(metabot): add pc14 fu03 sandbox design","2026-07-16 03:22:22 +0700",other_mars_scoped_commit,"metabot:8",8,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","docs(fp0002): persist v9 e38-e51 wordpress accepted state","2026-07-16 03:16:34 +0700",fp0002_persistence,"fp0002:4359",4359,no,yes,"Known FP-0002 main persistence; foreign_to_fp0002 no"
"56e82a05a188995095522a6abca74fb8b9994b95","docs(metabot): add pc14 fu03 repair loop proposal","2026-07-16 03:08:01 +0700",other_mars_scoped_commit,"metabot:8",8,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"230b490a5e995d41e77fef3c12aa299c4396cc9c","docs(metabot): add pc14 fu03 strict surface governance audit","2026-07-16 02:53:07 +0700",other_mars_scoped_commit,"metabot:11",11,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"8341f5690827df2c43d4f552132f9ca56426cfb7","docs(metabot): add pc14 fu02 hotfix production apply evidence","2026-07-14 05:14:32 +0700",other_mars_scoped_commit,"metabot:7",7,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"79e30f4c2a0209cc75ca2037802df21556b2e144","docs(metabot): add pc14 fu02 hotfix production proposal","2026-07-14 04:42:10 +0700",other_mars_scoped_commit,"metabot:6",6,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"e9d12305ca67fa7205f1215533194e20936855b0","docs(metabot): add pc14 fu02 hotfix sandbox evidence","2026-07-14 03:01:24 +0700",other_mars_scoped_commit,"metabot:7",7,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"d6a7ac6904e230f8f5298430a7b46392a6d0fffe","docs(metabot): add pc14 fu02 smoke timeout diagnostics","2026-07-14 02:40:55 +0700",other_mars_scoped_commit,"metabot:8",8,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"1b7cda593165eb4a7b8b745d6b416b18fcbcc7f2","docs(metabot): add pc14 fu02 production apply evidence","2026-07-14 00:05:40 +0700",other_mars_scoped_commit,"metabot:7",7,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
